,area,month,state,aqi_value
2547,Delhi,2022-05,Delhi,212.16129032258064
2548,Delhi,2022-06,Delhi,190.03333333333333
2549,Delhi,2022-07,Delhi,87.29032258064517
2550,Delhi,2022-08,Delhi,93.25806451612904
2551,Delhi,2022-09,Delhi,104.43333333333334
2552,Delhi,2022-10,Delhi,210.0
2553,Delhi,2022-11,Delhi,320.6
2554,Delhi,2022-12,Delhi,319.2258064516129
2555,Delhi,2023-01,Delhi,311.2903225806452
2556,Delhi,2023-02,Delhi,237.32142857142858
2557,Delhi,2023-03,Delhi,169.61290322580646
2558,Delhi,2023-04,Delhi,179.53333333333333
2559,Delhi,2023-05,Delhi,170.67741935483872
2560,Delhi,2023-06,Delhi,129.76666666666668
2561,Delhi,2023-07,Delhi,83.70967741935483
2562,Delhi,2023-08,Delhi,116.48387096774194
2563,Delhi,2023-09,Delhi,107.83333333333333
2564,Delhi,2023-10,Delhi,218.93548387096774
2565,Delhi,2023-11,Delhi,372.8666666666667
2566,Delhi,2023-12,Delhi,348.03225806451616
2567,Delhi,2024-01,Delhi,355.0
2568,Delhi,2024-02,Delhi,217.89655172413794
2569,Delhi,2024-03,Delhi,175.58064516129033
2570,Delhi,2024-04,Delhi,182.03333333333333
2571,Delhi,2024-05,Delhi,222.83870967741936
2572,Delhi,2024-06,Delhi,179.06666666666666
2573,Delhi,2024-07,Delhi,96.06451612903226
2574,Delhi,2024-08,Delhi,71.74193548387096
2575,Delhi,2024-09,Delhi,105.43333333333334
2576,Delhi,2024-10,Delhi,234.06451612903226
2577,Delhi,2024-11,Delhi,374.4
2578,Delhi,2024-12,Delhi,293.83870967741933
2579,Delhi,2025-01,Delhi,304.93333333333334
2580,Delhi,2025-02,Delhi,214.28571428571428
2581,Delhi,2025-03,Delhi,169.96774193548387
2582,Delhi,2025-04,Delhi,210.4
2583,Dewas,2022-04,Madhya Pradesh,130.33333333333334
2584,Dewas,2022-05,Madhya Pradesh,145.28571428571428
2585,Dewas,2022-06,Madhya Pradesh,78.48275862068965
2586,Dewas,2022-07,Madhya Pradesh,41.035714285714285
